chi_gene	Ensembl Gene ID	Gene Start (bp)	Gene End (bp)	Associated Gene Name	Description	Chromosome Name
CARHR203710	AT5G09680	2999202	3000601	RLF	reduced lateral root formation protein [Source:EMBL;Acc:AED91430.1]	5
CARHR203720	AT5G09670	2995912	2998932	AT5G09670	loricrin-related protein [Source:EMBL;Acc:AED91428.1]	5
CARHR203730	AT5G09660	2993444	2995675	PMDH2	malate dehydrogenase [Source:EMBL;Acc:AED91424.1]	5
CARHR203740	AT5G09650	2991149	2993213	AtPPa6	soluble inorganic pyrophosphatase 1 [Source:EMBL;Acc:AED91421.1]	5
CARHR203750	AT5G09630	2985856	2987652	AT5G09630	LisH/CRA/RING-U-box domain-containing protein [Source:EMBL;Acc:AED91419.1]	5
CARHR203760	AT5G09620	2983449	2985435	AT5G09620	octicosapeptide/Phox/Bem1p domain-containing protein [Source:EMBL;Acc:AED91418.1]	5
CARHR203780	AT5G09600	2978942	2980844	SDH3-1	succinate dehydrogenase 3-1 [Source:EMBL;Acc:AED91415.1]	5
CARHR203790	AT5G09590	2975548	2978750	HSC70-5	mitochondrial HSO70 2 [Source:EMBL;Acc:AED91413.1]	5
CARHR203840	AT5G09550	2963777	2966727	AT5G09550	RAB GDP-dissociation inhibitor [Source:EMBL;Acc:AED91409.1]	5
CARHR203850	AT5G09540	2962216	2963264	AT5G09540	chaperone DnaJ-domain containing protein [Source:EMBL;Acc:AED91408.1]	5
CARHR203860	AT5G09530	2959734	2961271	AT5G09530	hydroxyproline-rich glycoprotein family protein [Source:EMBL;Acc:AED91407.1]	5
CARHR203870	AT5G09510	2955113	2956673	AT5G09510	40S ribosomal protein S15-4 [Source:EMBL;Acc:AED91405.1]	5
CARHR203880	AT5G09500	2953913	2954918	AT5G09500	40S ribosomal protein S15-3 [Source:EMBL;Acc:AED91403.1]	5
CARHR203890	AT5G09490	2952216	2953245	AT5G09490	40S ribosomal protein S15-2 [Source:EMBL;Acc:AED91402.1]	5
CARHR203900	AT5G09480	2950914	2951693	AT5G09480	hydroxyproline-rich glycoprotein family protein [Source:EMBL;Acc:AED91401.1]	5
CARHR203910	AT5G09470	2949241	2950513	DIC3	dicarboxylate carrier 3 [Source:EMBL;Acc:AED91400.1]	5
CARHR203920	AT5G09461	2943738	2946839	CPuORF43	conserved peptide upstream open reading frame 43 [Source:EMBL;Acc:AED91397.1]	5
CARHR203930	AT5G09450	2941798	2943668	AT5G09450	pentatricopeptide repeat-containing protein [Source:EMBL;Acc:AED91395.1]	5
CARHR203940	AT5G09460	2943738	2946839	AT5G09460	transcription factor bHLH143 [Source:EMBL;Acc:AED91396.1]	5
CARHR203960	AT5G09440	2938347	2939461	EXL4	protein exordium like 4 [Source:EMBL;Acc:AED91393.1]	5
CARHR203970	AT5G09430	2932162	2933362	AT5G09430	alpha/beta-hydrolase domain-containing protein [Source:EMBL;Acc:AED91392.1]	5
CARHR203980	AT5G09420	2928316	2931949	OM64	translocon at the outer membrane of chloroplasts 64-V [Source:EMBL;Acc:AED91391.1]	5
CARHR203990	AT5G09410	2920827	2927420	EICBP.B	calmodulin-binding transcription activator 1 [Source:EMBL;Acc:AED91388.1]	5
CARHR204010	AT5G09400	2916216	2920759	KUP7	Potassium transporter 7 [Source:EMBL;Acc:AED91387.1]	5
CARHR204020	AT5G09390	2913534	2915923	AT5G09390	CD2 antigen cytoplasmic tail-binding protein 2 [Source:EMBL;Acc:AED91386.1]	5
CARHR204030	AT5G09380	2911313	2913136	AT5G09380	RNA polymerase III RPC4 [Source:EMBL;Acc:AED91384.1]	5
CARHR204050	AT5G09350	2899123	2906146	PI4KBETA2	phosphatidylinositol 4-kinase 2 [Source:EMBL;Acc:AED91380.1]	5
CARHR204060	AT5G09330	2892365	2895422	VNI1	NAC domain containing protein 82 [Source:EMBL;Acc:AED91378.1]	5
CARHR204090	AT5G09310	2887192	2888538	AT5G09310	presenilin enhancer 2 [Source:EMBL;Acc:AED91373.1]	5
CARHR204110	AT5G09300	2884179	2886863	AT5G09300	2-oxoisovalerate dehydrogenase E1 component, alpha subunit [Source:EMBL;Acc:AED91372.1]	5
CARHR204120	AT5G09290	2882427	2884229	AT5G09290	putative SAL4 phosphatase [Source:EMBL;Acc:AED91370.1]	5
CARHR204130	AT5G09280	2880423	2881597	AT5G09280	pectate lyase [Source:EMBL;Acc:AED91369.1]	5
CARHR204140	AT5G09270	2878884	2880816	AT5G09270	uncharacterized protein [Source:EMBL;Acc:AED91368.1]	5
CARHR204180	AT5G09250	2875232	2876575	KIWI	RNA polymerase II transcriptional coactivator KIWI [Source:EMBL;Acc:AED91365.1]	5
CARHR204190	AT5G09230	2871377	2873789	SRT2	sirtuin 2 [Source:EMBL;Acc:AED91359.1]	5
CARHR204200	AT5G09225	2869362	2871190	AT5G09225	uncharacterized protein [Source:EMBL;Acc:AED91353.1]	5
CARHR204210	AT5G09220	2866252	2869054	AAP2	amino acid permease 2 [Source:EMBL;Acc:AED91352.1]	5
CARHR204220	AT5G08790	2858849	2860262	ATAF2	protein ATAF2 [Source:EMBL;Acc:AED91350.1]	5
CARHR204230	AT5G08780	2856740	2859006	AT5G08780	winged-helix DNA-binding transcription factor family protein [Source:EMBL;Acc:AED91349.1]	5
CARHR204240	AT5G08770	2855638	2856540	AT5G08770	uncharacterized protein [Source:EMBL;Acc:AED91348.1]	5
CARHR204250	AT5G08750	2851979	2854513	AT5G08750	RING/FYVE/PHD zinc finger-containing protein [Source:EMBL;Acc:AED91345.1]	5
CARHR204260	AT5G08740	2848506	2851428	NDC1	NAD(P)H dehydrogenase C1 [Source:EMBL;Acc:AED91343.1]	5
CARHR204290	AT5G08720	2841418	2845381	AT5G08720	uncharacterized protein [Source:EMBL;Acc:AED91341.1]	5
CARHR204300	AT5G08710	2834743	2838090	AT5G08710	regulator of chromosome condensation repeat-containing protein [Source:EMBL;Acc:AED91340.1]	5
CARHR204310	AT5G08680	2821928	2824966	AT5G08680	ATP synthase subunit beta-3 [Source:EMBL;Acc:AED91337.1]	5
CARHR204320	AT5G08660	2814087	2818019	AT5G08660	uncharacterized protein [Source:EMBL;Acc:AED91335.1]	5
CARHR204330	AT5G08650	2806323	2813264	AT5G08650	GTP-binding protein LepA [Source:EMBL;Acc:AED91334.1]	5
CARHR204340	AT5G08640	2803957	2805606	FLS	flavonol synthase/flavanone 3-hydroxylase [Source:EMBL;Acc:AED91333.1]	5
CARHR204350	AT5G08630	2798281	2803171	AT5G08630	DDT domain-containing protein [Source:EMBL;Acc:AED91331.1]	5
CARHR204360	AT5G08620	2794457	2797660	STRS2	DEAD-box ATP-dependent RNA helicase 25 [Source:EMBL;Acc:AED91330.1]	5
CARHR204370	AT5G08610	2790295	2794215	AT5G08610	DEAD-box ATP-dependent RNA helicase 26 [Source:EMBL;Acc:AED91329.1]	5
CARHR204380	AT5G08580	2780512	2783066	AT5G08580	EF-hand, calcium binding motif-containing protein [Source:EMBL;Acc:AED91325.1]	5
CARHR204390	AT5G08570	2778000	2780441	AT5G08570	pyruvate kinase [Source:EMBL;Acc:AED91324.1]	5
CARHR204400	AT5G08565	2775897	2777446	AT5G08565	transcription elongation factor SPT4-1 [Source:EMBL;Acc:AED91323.1]	5
CARHR204410	AT5G08560	2770874	2774672	AT5G08560	transducin/WD40 domain-containing protein [Source:EMBL;Acc:AED91321.1]	5
CARHR204430	AT5G08550	2765642	2770282	ILP1	GC-rich sequence DNA-binding factor [Source:EMBL;Acc:AED91319.1]	5
CARHR204440	AT5G08540	2763823	2765734	AT5G08540	uncharacterized protein [Source:EMBL;Acc:AED91318.1]	5
CARHR204450	AT5G08535	2762029	2763436	AT5G08535	D111/G-patch domain-containing protein [Source:EMBL;Acc:AED91316.1]	5
CARHR204460	AT5G08530	2759317	2761875	CI51	NADH dehydrogenase (ubiquinone) flavoprotein 1 [Source:EMBL;Acc:AED91315.1]	5
CARHR204470	AT5G08520	2755175	2758362	AT5G08520	duplicated SANT DNA-binding domain-containing protein [Source:EMBL;Acc:AED91314.1]	5
CARHR204480	AT5G08510	2753099	2755116	AT5G08510	pentatricopeptide repeat-containing protein [Source:EMBL;Acc:AED91313.1]	5
CARHR204490	AT5G08500	2748193	2751771	AT5G08500	transmembrane CLPTM1 family protein [Source:EMBL;Acc:AED91311.1]	5
CARHR204500	AT5G08490	2745208	2747757	AT5G08490	pentatricopeptide repeat-containing protein [Source:EMBL;Acc:AED91310.1]	5
CARHR204510	AT5G08480	2743620	2745111	AT5G08480	VQ motif-containing protein [Source:EMBL;Acc:AED91308.1]	5
CARHR204530	AT5G08470	2735925	2743056	PEX1	peroxisome 1 [Source:EMBL;Acc:AED91307.1]	5
CARHR204540	AT5G08460	2733220	2735455	AT5G08460	GDSL esterase/lipase [Source:EMBL;Acc:AED91306.1]	5
CARHR204550	AT5G08450	2727821	2732893	AT5G08450	uncharacterized protein [Source:EMBL;Acc:AED91305.1]	5
CARHR204570	AT5G08440	2720669	2727167	AT5G08440	uncharacterized protein [Source:EMBL;Acc:AED91301.1]	5
CARHR204580	AT5G08430	2716700	2720212	AT5G08430	SWIB/MDM2 and Plus-3 and GYF domain-containing protein [Source:EMBL;Acc:AED91300.1]	5
CARHR204600	AT5G08420	2713413	2716179	AT5G08420	RNA-binding KH domain-containing protein [Source:EMBL;Acc:AED91299.1]	5
CARHR204620	AT5G08415	2710817	2713132	AT5G08415	lipoyl synthase [Source:EMBL;Acc:AED91298.1]	5
CARHR204630	AT5G08410	2709848	2710583	FTRA2	ferredoxin/thioredoxin reductase subunit A (variable subunit) 2 [Source:EMBL;Acc:AED91297.1]	5
CARHR204640	AT5G08400	2706458	2708946	AT5G08400	uncharacterized protein [Source:EMBL;Acc:AED91295.1]	5
CARHR204650	AT5G08390	2701013	2707273	AT5G08390	katanin p80 subunit-like protein [Source:EMBL;Acc:AED91294.1]	5
CARHR204660	AT5G08391	2699301	2699784	AT5G08391	uncharacterized protein [Source:EMBL;Acc:AED91293.1]	5
CARHR204670	AT5G08380	2694677	2697724	AtAGAL1	alpha-galactosidase 1 [Source:EMBL;Acc:AED91292.1]	5
CARHR204680	AT5G08370	2690879	2693550	AtAGAL2	alpha-galactosidase 2 [Source:EMBL;Acc:AED91290.1]	5
CARHR204720	AT5G08350	2686245	2687251	AT5G08350	GEM-like protein 4 [Source:EMBL;Acc:AED91288.1]	5
CARHR204730	AT5G08340	2683832	2685997	AT5G08340	riboflavin biosynthesis protein-like protein [Source:EMBL;Acc:AED91286.1]	5
CARHR204740	AT5G08335	2682229	2683712	ATSTE14B	protein-S-isoprenylcysteine O-methyltransferase B [Source:EMBL;Acc:AED91285.1]	5
CARHR204750	AT1G07940	2462953	2465504	AT1G07940	Elongation factor 1-alpha [Source:EMBL;Acc:AEE28216.1]	1
CARHR204770	AT5G08330	2680744	2681813	AT5G08330	transcription factor TCP21 [Source:EMBL;Acc:AED91284.1]	5
CARHR204780	AT5G08320	2677052	2678678	AT5G08320	uncharacterized protein [Source:EMBL;Acc:AED91283.1]	5
CARHR204810	AT5G08310	2672756	2675254	AT5G08310	pentatricopeptide repeat-containing protein [Source:EMBL;Acc:AED91281.1]	5
CARHR204820	AT5G08305	2670134	2671765	AT5G08305	pentatricopeptide repeat (PPR) family protein [Source:EMBL;Acc:AED91280.1]	5
CARHR204830	AT5G08300	2667412	2669923	AT5G08300	Succinyl-CoA ligase [GDP-forming] subunit alpha-1 [Source:EMBL;Acc:AED91279.1]	5
CARHR204840	AT5G08290	2665976	2667155	YLS8	mRNA splicing factor, thioredoxin-like U5 snRNP [Source:EMBL;Acc:AED91278.1]	5
CARHR204850	AT5G08280	2663499	2665792	HEMC	Porphobilinogen deaminase [Source:EMBL;Acc:AED91277.1]	5
CARHR204870	AT5G08270	2661658	2663627	AT5G08270	uncharacterized protein [Source:EMBL;Acc:AED91276.1]	5
CARHR204880	AT5G08260	2657151	2661416	scpl35	serine carboxypeptidase-like 35 [Source:EMBL;Acc:AED91275.1]	5
CARHR204920	AT5G08250	2653579	2655732	AT5G08250	cytochrome P450 86B1 [Source:EMBL;Acc:AED91274.1]	5
CARHR204930	AT5G08240	2650837	2652398	AT5G08240	uncharacterized protein [Source:EMBL;Acc:AED91273.1]	5
CARHR204950	AT5G08230	2641394	2649788	AT5G08230	Tudor/PWWP/MBT domain-containing protein [Source:EMBL;Acc:AED91271.1]	5
CARHR204980	AT5G08200	2638036	2640824	AT5G08200	peptidoglycan-binding LysM domain-containing protein [Source:EMBL;Acc:AED91270.1]	5
CARHR204990	AT5G08190	2635902	2637433	NF-YB12	nuclear factor Y, subunit B12 [Source:EMBL;Acc:AED91269.1]	5
CARHR205000	AT5G08180	2631516	2633850	AT5G08180	H/ACA ribonucleoprotein complex subunit 2-like protein [Source:EMBL;Acc:AED91263.1]	5
CARHR205010	AT5G08170	2628325	2631098	ATAIH	agmatine deiminase [Source:EMBL;Acc:AED91261.1]	5
CARHR205020	AT5G08160	2625559	2628110	ATPK3	serine/threonine protein kinase 3 [Source:EMBL;Acc:AED91259.1]	5
CARHR205030	AT5G08150	2622030	2622720	SOB5	suppressor of phytochrome b 5 [Source:EMBL;Acc:AED91258.1]	5
CARHR205040	AT5G08141	2619142	2619555	AtbZIP75	basic leucine-zipper 75 [Source:EMBL;Acc:AED91257.1]	5
CARHR205050	AT5G08139	2616345	2617881	AT5G08139	RING/U-box domain-containing protein [Source:EMBL;Acc:AED91256.1]	5
CARHR205060	AT5G08130	2606200	2610250	BIM1	transcription factor BIM1 [Source:EMBL;Acc:AED91250.1]	5
CARHR205070	AT5G08120	2600474	2602927	MPB2C	movement protein binding protein 2C [Source:EMBL;Acc:AED91249.1]	5
CARHR205080	AT5G08110	2594722	2600114	AT5G08110	UBQ, helicase-c and DEAD-like helicase domain-containing protein [Source:EMBL;Acc:AED91248.1]	5
CARHR205090	AT5G08100	2593050	2594651	AT5G08100	Isoaspartyl peptidase/L-asparaginase 1 subunit beta [Source:EMBL;Acc:AED91246.1]	5
CARHR205100	AT5G08080	2588342	2591316	ATSYP132	syntaxin-132 [Source:EMBL;Acc:AED91243.1]	5
CARHR205110	AT5G08070	2584885	2585613	TCP17	transcription factor TCP17 [Source:EMBL;Acc:AED91241.1]	5
CARHR205120	AT5G08060	2580449	2582564	AT5G08060	uncharacterized protein [Source:EMBL;Acc:AED91240.1]	5
CARHR205130	AT5G08050	2578345	2579163	AT5G08050	uncharacterized protein [Source:EMBL;Acc:AED91238.1]	5
CARHR205140	AT5G08040	2577202	2578119	TOM5	mitochondrial import receptor subunit TOM5-like protein [Source:EMBL;Acc:AED91237.1]	5
CARHR205150	AT5G08030	2575033	2576783	AT5G08030	glycerophosphoryl diester phosphodiesterase [Source:EMBL;Acc:AED91236.1]	5
CARHR205160	AT5G08020	2572107	2574879	ATRPA70B	RPA70-kDa subunit B [Source:EMBL;Acc:AED91235.1]	5
CARHR205170	AT5G08010	2569606	2571734	AT5G08010	uncharacterized protein [Source:EMBL;Acc:AED91234.1]	5
CARHR205190	AT5G08000	2563554	2565491	PDCB2	glucan endo-1,3-beta-glucosidase-like protein 3 [Source:EMBL;Acc:AED91233.1]	5
CARHR205200	AT5G07990	2560394	2563109	CYP75B1	Flavonoid 3-monooxygenase [Source:EMBL;Acc:AED91232.1]	5
CARHR205210	AT5G07980	2549166	2555519	AT5G07980	dentin sialophosphoprotein-like protein [Source:EMBL;Acc:AED91231.1]	5
CARHR205220	AT5G07970	2543868	2548723	AT5G07970	dentin sialophosphoprotein-like protein [Source:EMBL;Acc:AED91230.1]	5
CARHR205230	AT5G07960	2542246	2543459	AT5G07960	uncharacterized protein [Source:EMBL;Acc:AED91229.1]	5
CARHR205240	AT5G07950	2540284	2542136	AT5G07950	uncharacterized protein [Source:EMBL;Acc:AED91228.1]	5
CARHR205250	AT5G07940	2533724	2540421	AT5G07940	uncharacterized protein [Source:EMBL;Acc:AED91227.1]	5
CARHR205270	AT5G07930	2530834	2532742	MCT2	MEI2 C-terminal RRM only like 2 [Source:EMBL;Acc:AED91223.1]	5
CARHR205280	AT5G07920	2524778	2529330	DGK1	diacylglycerol kinase1 [Source:EMBL;Acc:AED91221.1]	5
CARHR205290	AT5G07910	2521534	2524201	AT5G07910	leucine-rich repeat-containing protein [Source:EMBL;Acc:AED91220.1]	5
CARHR205300	AT5G07900	2520169	2521546	AT5G07900	Mitochondrial transcription termination factor family protein [Source:EMBL;Acc:AED91219.1]	5
CARHR205310	AT5G07890	2517381	2520038	AT5G07890	myosin heavy chain-like protein [Source:EMBL;Acc:AED91217.1]	5
CARHR205320	AT5G07880	2515587	2516694	SNAP29	SNAP25 homologous protein SNAP29 [Source:EMBL;Acc:AED91215.1]	5
CARHR205330	AT5G07860	2511442	2513095	AT5G07860	HXXXD-type acyl-transferase-like protein [Source:EMBL;Acc:AED91213.1]	5
CARHR205340	AT1G05430	1594057	1595818	AT1G05430	uncharacterized protein [Source:EMBL;Acc:AEE27839.1]	1
CARHR205350	AT5G07830	2503323	2506688	AtGUS2	Heparanase-like protein 1 [Source:EMBL;Acc:AED91209.1]	5
CARHR205360	AT5G07820	2498749	2501209	AT5G07820	calmodulin-binding protein-like protein [Source:EMBL;Acc:AED91208.1]	5
CARHR205370	AT5G07810	2491283	2498484	AT5G07810	SNF2 and helicase domain-containing protein [Source:EMBL;Acc:AED91207.1]	5
CARHR205380	AT5G07800	2486576	2489296	AT5G07800	flavin-containing monooxygenase-like protein [Source:EMBL;Acc:AED91206.1]	5
CARHR205390	AT5G07790	2483311	2486361	AT5G07790	uncharacterized protein [Source:EMBL;Acc:AED91205.1]	5
CARHR205410	AT5G07740	2458577	2466813	AT5G07740	actin binding protein [Source:EMBL;Acc:AED91199.1]	5
CARHR205420	AT5G07730	2457347	2458430	AT5G07730	uncharacterized protein [Source:EMBL;Acc:AED91198.1]	5
CARHR205430	AT5G07720	2455634	2457316	AT5G07720	xyloglucan 6-xylosyltransferase [Source:EMBL;Acc:AED91197.1]	5
CARHR205440	AT5G07710	2453135	2455546	AT5G07710	exonuclease family protein [Source:EMBL;Acc:AED91196.1]	5
CARHR205450	AT5G07700	2450325	2451578	MYB76	myb domain protein 76 [Source:EMBL;Acc:AED91195.1]	5
CARHR205480	AT5G07690	2446764	2448543	MYB29	myb domain protein 29 [Source:EMBL;Acc:AED91194.1]	5
CARHR205490	AT5G07680	2435875	2437499	ANAC079	NAC domain containing protein 80 [Source:EMBL;Acc:AED91193.1]	5
CARHR205500	AT5G07670	2430146	2432196	AT5G07670	F-box protein [Source:EMBL;Acc:AED91191.1]	5
CARHR205520	AT5G07630	2410703	2414711	AT5G07630	lipid transporter [Source:EMBL;Acc:AED91187.1]	5
CARHR205550	AT5G07610	2406068	2407330	AT5G07610	F-box protein [Source:EMBL;Acc:AED91185.1]	5
CARHR205560	AT5G07590	2401581	2403877	AT5G07590	transducin/WD40 domain-containing protein [Source:EMBL;Acc:AED91183.1]	5
CARHR205570	AT5G07580	2399504	2400601	AT5G07580	ERF/AP2 transcription factor [Source:EMBL;Acc:AED91182.1]	5
CARHR205580	AT5G07572	2396708	2397548	AT5G07572	uncharacterized protein [Source:EMBL;Acc:AED91181.1]	5
CARHR205590	AT5G07571	2396432	2397423	AT5G07571	Oleosin family protein [Source:EMBL;Acc:AED91180.1]	5
CARHR205610	AT5G07550	2388310	2389249	ATGRP19	glycine-rich protein 19 [Source:EMBL;Acc:AED91177.1]	5
CARHR205630	AT5G07500	2372619	2373655	PEI1	zinc finger CCCH domain-containing protein 54 [Source:EMBL;Acc:AED91166.1]	5
CARHR205640	AT5G07490	2370136	2371326	AT5G07490	uncharacterized protein [Source:EMBL;Acc:AED91165.1]	5
CARHR205650	AT5G07480	2367167	2369554	KUOX1	KAR-UP oxidoreductase 1 [Source:EMBL;Acc:AED91164.1]	5
CARHR205660	AT5G07475	2364745	2365605	AT5G07475	plastocyanin-like domain-containing protein [Source:EMBL;Acc:AED91163.1]	5
CARHR205670	AT5G07470	2362570	2364374	ATMSRA3	peptide methionine sulfoxide reductase A3 [Source:EMBL;Acc:AED91162.1]	5
CARHR205680	AT5G07460	2360634	2362013	PMSR2	peptide methionine sulfoxide reductase A2 [Source:EMBL;Acc:AED91161.1]	5
CARHR205700	AT5G07450	2358352	2359308	CYCP4;3	cyclin-U4-2 [Source:EMBL;Acc:AED91160.1]	5
CARHR205710	AT5G07440	2355937	2358194	GDH2	glutamate dehydrogenase 2 [Source:EMBL;Acc:AED91159.1]	5
CARHR205720	AT5G07430	2352439	2354202	AT5G07430	putative pectinesterase 50 [Source:EMBL;Acc:AED91156.1]	5
CARHR205730	AT5G07420	2349455	2351509	AT5G07420	putative pectinesterase 49 [Source:EMBL;Acc:AED91155.1]	5
CARHR205740	AT1G69940	26343369	26345058	PPME1	pectinesterase PPME1 [Source:EMBL;Acc:AEE35001.1]	1
CARHR205750	AT5G07400	2340642	2345458	AT5G07400	forkhead-associated domainand FHA domain-containing protein [Source:EMBL;Acc:AED91153.1]	5
CARHR205760	AT5G07390	2335895	2339913	ATRBOHA	Respiratory burst oxidase-A [Source:EMBL;Acc:AED91152.1]	5
CARHR205770	AT5G07380	2332476	2336063	AT5G07380	uncharacterized protein [Source:EMBL;Acc:AED91149.1]	5
CARHR205780	AT5G07370	2330385	2332281	ATIPK2A	inositol polyphosphate multikinase alpha [Source:EMBL;Acc:AED91147.1]	5
CARHR205790	AT5G07360	2326704	2330142	AT5G07360	Amidase family protein [Source:EMBL;Acc:AED91142.1]	5
CARHR205800	AT5G07350	2320021	2325419	Tudor1	TUDOR-SN protein 1 [Source:EMBL;Acc:AED91140.1]	5
CARHR205810	AT5G07340	2317213	2319649	AT5G07340	calnexin2 [Source:EMBL;Acc:AED91138.1]	5
CARHR205820	AT5G07330	2315980	2316874	AT5G07330	uncharacterized protein [Source:EMBL;Acc:AED91137.1]	5
CARHR205830	AT5G07320	2309911	2312287	AT5G07320	Mitochondrial substrate carrier family protein [Source:EMBL;Acc:AED91136.1]	5
CARHR205840	AT5G07310	2305684	2306660	AT5G07310	ethylene-responsive transcription factor ERF115 [Source:EMBL;Acc:AED91135.1]	5
CARHR205850	AT5G07300	2299887	2303268	BON2	calcium-dependent phospholipid-binding copine-like protein [Source:EMBL;Acc:AED91134.1]	5
CARHR205860	AT5G07290	2293353	2298976	AML4	MEI2-like protein 4 [Source:EMBL;Acc:AED91133.1]	5
CARHR205870	AT5G07280	2285040	2288686	EMS1	leucine-rich repeat receptor protein kinase EXS [Source:EMBL;Acc:AED91132.1]	5
CARHR205880	AT5G07270	2280667	2283593	XBAT33	E3 ubiquitin-protein ligase XBAT33 [Source:EMBL;Acc:AED91131.1]	5
CARHR205890	AT5G07250	2274260	2275990	ATRBL3	RHOMBOID-like protein 3 [Source:EMBL;Acc:AED91127.1]	5
CARHR205900	AT5G07240	2271919	2274288	IQD24	IQ-domain 24 protein [Source:EMBL;Acc:AED91126.1]	5
CARHR205910	AT5G07230	2270965	2271610	AT5G07230	Tapetum-specific protein A9 [Source:EMBL;Acc:AED91125.1]	5
CARHR205920	AT5G07220	2265256	2266967	ATBAG3	BCL-2-associated athanogene 3 [Source:EMBL;Acc:AED91123.1]	5
CARHR205930	AT5G07210	2252237	2256018	ARR21	putative two-component response regulator ARR21 [Source:EMBL;Acc:AED91122.1]	5
CARHR205940	AT5G07200	2243553	2245339	ATGA20OX3	gibberellin 20 oxidase 3 [Source:EMBL;Acc:AED91121.1]	5
CARHR205960	AT5G07190	2237507	2238671	ATS3	embryo-specific protein 3 [Source:EMBL;Acc:AED91120.1]	5
CARHR205970	AT5G07180	2227571	2233417	ERL2	LRR receptor-like serine/threonine-protein kinase ERL2 [Source:EMBL;Acc:AED91118.1]	5
CARHR205980	AT5G07170	2222767	2225098	AT5G07170	Cell cycle regulated microtubule associated protein [Source:EMBL;Acc:AED91117.1]	5
CARHR205990	AT5G07150	2215820	2217983	AT5G07150	leucine-rich repeat protein kinase-like protein [Source:EMBL;Acc:AED91115.1]	5
CARHR206000	AT5G07140	2212826	2215530	AT5G07140	protein kinase family protein [Source:EMBL;Acc:AED91114.1]	5
CARHR206010	AT5G07130	2210567	2212620	LAC13	laccase 13 [Source:EMBL;Acc:AED91113.1]	5
CARHR206020	AT5G07120	2206894	2209516	SNX2b	sorting nexin 2B [Source:EMBL;Acc:AED91112.1]	5
CARHR206030	AT5G07100	2204248	2205811	WRKY26	WRKY DNA-binding protein 26 [Source:EMBL;Acc:AED91110.1]	5
CARHR206040	AT5G07110	2206000	2206928	PRA1.B6	PRA1 family protein B6 [Source:EMBL;Acc:AED91111.1]	5
CARHR206050	AT5G07090	2202380	2204078	AT5G07090	40S ribosomal protein S4-2 [Source:EMBL;Acc:AED91108.1]	5
CARHR206060	AT5G07080	2200332	2202110	AT5G07080	HXXXD-type acyl-transferase-like protein [Source:EMBL;Acc:AED91106.1]	5
CARHR206080	AT5G07070	2196434	2198114	CIPK2	CBL-interacting serine/threonine-protein kinase 2 [Source:EMBL;Acc:AED91105.1]	5
CARHR206100	AT5G07050	2191385	2193416	AT5G07050	nodulin MtN21 /EamA-like transporter family protein [Source:EMBL;Acc:AED91102.1]	5
CARHR206110	AT5G07040	2190344	2190823	AT5G07040	putative RING-H2 finger protein ATL69 [Source:EMBL;Acc:AED91101.1]	5
CARHR206120	AT5G07030	2183360	2185972	AT5G07030	aspartyl protease family protein [Source:EMBL;Acc:AED91100.1]	5
CARHR206130	AT5G07020	2180502	2182418	AT5G07020	proline-rich family protein [Source:EMBL;Acc:AED91099.1]	5
CARHR206140	AT5G07010	2174678	2176106	ST2A	sulfotransferase 2A [Source:EMBL;Acc:AED91098.1]	5
CARHR206150	AT5G06990	2169602	2170606	AT5G06990	uncharacterized protein [Source:EMBL;Acc:AED91096.1]	5
CARHR206160	AT5G06980	2167468	2169391	AT5G06980	uncharacterized protein [Source:EMBL;Acc:AED91094.1]	5
CARHR206170	AT5G06970	2158228	2166398	AT5G06970	uncharacterized protein [Source:EMBL;Acc:AED91091.1]	5
CARHR206190	AT5G06960	2154780	2157646	OBF5	transcription factor TGA5 [Source:EMBL;Acc:AED91090.1]	5
CARHR206200	AT5G06950	2151025	2154553	TGA2	transcription factor TGA2 [Source:EMBL;Acc:AED91088.1]	5
CARHR206210	AT5G06940	2148078	2150771	AT5G06940	probably inactive leucine-rich repeat receptor-like protein kinase [Source:EMBL;Acc:AED91084.1]	5
CARHR206220	AT5G06930	2144999	2148039	AT5G06930	uncharacterized protein [Source:EMBL;Acc:AED91083.1]	5
CARHR206230	AT5G06920	2142858	2143919	FLA21	FASCICLIN-like arabinogalactan protein 21 precursor [Source:EMBL;Acc:AED91082.1]	5
CARHR206240	AT5G06910	2140453	2142679	ATJ6	chaperone protein dnaJ 6 [Source:EMBL;Acc:AED91081.1]	5
CARHR206250	AT5G06905	2138438	2140078	CYP712A2	cytochrome P450, family 712, subfamily A, polypeptide 2 [Source:EMBL;Acc:AED91080.1]	5
CARHR206260	AT5G06900	2136160	2137925	CYP93D1	cytochrome P450, family 93, subfamily D, polypeptide 1 [Source:EMBL;Acc:AED91079.1]	5
CARHR206280	AT5G06870	2133918	2135166	PGIP2	Polygalacturonase inhibitor 2 [Source:EMBL;Acc:AED91077.1]	5
CARHR206310	AT5G06860	2132350	2133587	PGIP1	Polygalacturonase inhibitor 1 [Source:EMBL;Acc:AED91076.1]	5
CARHR206320	AT5G06850	2126975	2130443	AT5G06850	C2 calcium/lipid-binding and phosphoribosyltransferase C-terminal domain-containing protein [Source:EMBL;Acc:AED91075.1]	5
CARHR206330	AT5G06839	2120527	2126456	bZIP65	bZIP transcription factor-like protein [Source:EMBL;Acc:AED91072.1]	5
CARHR206340	AT5G06830	2116783	2119629	AT5G06830	CDK5RAP3-like protein [Source:EMBL;Acc:AED91071.1]	5
